Execution Time (seconds),Accuracy of Financial Data Retrieval,Completeness of Data
3.5633139610290527,0.9090909090909091,0.9090909090909091
0.2912759780883789,0.9090909090909091,0.9090909090909091
0.663982629776001,0.9090909090909091,0.9090909090909091
0.7238960266113281,0.9090909090909091,0.9090909090909091
0.9446759223937988,0.9090909090909091,0.9090909090909091
0.7751791477203369,0.9090909090909091,0.9090909090909091
0.7184622287750244,0.9090909090909091,0.9090909090909091
0.8330399990081787,0.9090909090909091,0.9090909090909091
0.5990066528320312,0.9090909090909091,0.9090909090909091
0.6489648818969727,0.9090909090909091,0.9090909090909091
0.7269182205200195,0.9090909090909091,0.9090909090909091
0.6388518810272217,0.9090909090909091,0.9090909090909091
0.7439746856689453,0.9090909090909091,0.9090909090909091
0.6559083461761475,0.9090909090909091,0.9090909090909091
0.8382096290588379,0.9090909090909091,0.9090909090909091
0.776167631149292,0.9090909090909091,0.9090909090909091
0.7004785537719727,0.9090909090909091,0.9090909090909091
0.7503323554992676,0.9090909090909091,0.9090909090909091
0.8182919025421143,0.9090909090909091,0.9090909090909091
0.7205097675323486,0.9090909090909091,0.9090909090909091
0.8461394309997559,0.9090909090909091,0.9090909090909091
0.7528524398803711,0.9090909090909091,0.9090909090909091
0.6464920043945312,0.9090909090909091,0.9090909090909091
0.7173306941986084,0.9090909090909091,0.9090909090909091
0.7986595630645752,0.9090909090909091,0.9090909090909091
0.7019431591033936,0.9090909090909091,0.9090909090909091
0.7344374656677246,0.9090909090909091,0.9090909090909091
0.6785082817077637,0.9090909090909091,0.9090909090909091
0.7936785221099854,0.9090909090909091,0.9090909090909091
0.8404088020324707,0.9090909090909091,0.9090909090909091
0.6652698516845703,0.9090909090909091,0.9090909090909091
0.6251955032348633,0.9090909090909091,0.9090909090909091
0.7321343421936035,0.9090909090909091,0.9090909090909091
0.7190098762512207,0.9090909090909091,0.9090909090909091
0.7109785079956055,0.9090909090909091,0.9090909090909091
0.7528996467590332,0.9090909090909091,0.9090909090909091
0.7107603549957275,0.9090909090909091,0.9090909090909091
0.7591457366943359,0.9090909090909091,0.9090909090909091
0.8083398342132568,0.9090909090909091,0.9090909090909091
0.757523775100708,0.9090909090909091,0.9090909090909091
0.7118935585021973,0.9090909090909091,0.9090909090909091
0.7333619594573975,0.9090909090909091,0.9090909090909091
0.7049448490142822,0.9090909090909091,0.9090909090909091
0.6683111190795898,0.9090909090909091,0.9090909090909091
0.9661571979522705,0.9090909090909091,0.9090909090909091
0.768974781036377,0.9090909090909091,0.9090909090909091
0.9552419185638428,0.9090909090909091,0.9090909090909091
0.7621109485626221,0.9090909090909091,0.9090909090909091
0.7443137168884277,0.9090909090909091,0.9090909090909091
0.6846051216125488,0.9090909090909091,0.9090909090909091
